close,date,high,low,open
1178.66992,2015-06-23,1188.69995,1176.32007,1186.15002
1175.44995,2015-06-24,1180.59998,1170.03003,1178.59998
1173.125,2015-06-25,1178.30005,1171.64001,1175.32495
1175.44507,2015-06-26,1179.0,1168.66504,1173.33008
1179.80005,2015-06-29,1188.69995,1173.92505,1174.80005
1172.39001,2015-06-30,1181.0,1166.94995,1179.84998
1168.84998,2015-07-01,1175.40002,1167.65002,1172.55005
1166.32007,2015-07-02,1169.94995,1156.94995,1168.84998
1168.78003,2015-07-03,1170.39502,1164.75,1166.15002
1170.40991,2015-07-06,1175.09998,1162.80005,1168.78003
1155.25,2015-07-07,1170.80005,1147.75,1170.34998
1158.06006,2015-07-08,1164.84998,1146.80005,1155.25
1159.25,2015-07-09,1167.94995,1156.0,1158.40002
1163.5,2015-07-10,1165.65002,1157.30005,1159.34998
1158.05005,2015-07-13,1165.05005,1151.0,1163.505
1156.29492,2015-07-14,1159.94995,1152.90002,1158.05005
1149.38501,2015-07-15,1156.97998,1143.09998,1155.96997
1145.41992,2015-07-16,1149.69995,1142.40991,1149.51501
1134.26001,2015-07-17,1145.94995,1131.16992,1145.44507
1096.66504,2015-07-20,1134.82007,1073.27502,1134.81995
1101.14502,2015-07-21,1110.02002,1096.19995,1096.66504
1094.255,2015-07-22,1103.6001,1087.09998,1101.14502
1090.69995,2015-07-23,1105.86011,1087.30005,1094.255
1099.13501,2015-07-24,1102.25,1077.15002,1090.63
1094.09998,2015-07-27,1105.40002,1088.5,1099.29004
1095.23999,2015-07-28,1099.15002,1091.69995,1094.09998
1097.17993,2015-07-29,1102.13,1089.90002,1095.34497
1088.55005,2015-07-30,1098.79492,1082.09998,1096.83008
1095.54004,2015-07-31,1103.65002,1080.0,1088.80005
1086.78491,2015-08-03,1097.89502,1085.69995,1095.69995
1087.70508,2015-08-04,1095.07007,1080.80005,1086.78491
1085.05005,2015-08-05,1092.69507,1082.84998,1087.65002
1089.65002,2015-08-06,1094.16003,1083.59998,1085.0
1094.12,2015-08-07,1099.75,1082.80005,1089.66992
1104.51001,2015-08-10,1109.30005,1089.79004,1094.06006
1108.93994,2015-08-11,1119.80005,1093.95508,1104.55005
1124.42993,2015-08-12,1126.09998,1101.90002,1108.98499
1115.255,2015-08-13,1126.91504,1113.65002,1124.42993
1115.04004,2015-08-14,1121.30005,1111.84998,1115.15002
1117.64001,2015-08-17,1123.09998,1113.69995,1115.14001
1117.80005,2015-08-18,1121.31006,1109.5,1117.61499
1134.19995,2015-08-19,1135.09998,1116.25,1117.65002
1152.09998,2015-08-20,1154.40002,1132.745,1134.05005
1160.70996,2015-08-21,1168.69995,1148.94995,1152.08496
1155.11499,2015-08-24,1170.40002,1145.66504,1160.0
1140.67505,2015-08-25,1157.09998,1134.55005,1155.15002
1125.15002,2015-08-26,1146.90002,1117.65002,1140.41504
1124.71997,2015-08-27,1129.43506,1118.25,1125.32007
1133.6001,2015-08-28,1141.09998,1123.90002,1124.84998
1134.93994,2015-08-31,1136.84998,1125.71997,1134.25
1140.245,2015-09-01,1148.19995,1134.34998,1134.94995
1134.03003,2015-09-02,1142.69995,1132.10999,1140.30005
1125.19507,2015-09-03,1134.59998,1121.84998,1134.10999
1121.90002,2015-09-04,1133.09998,1116.76001,1125.30005
1119.30005,2015-09-07,1124.94995,1116.04004,1123.09998
1121.54492,2015-09-08,1127.0,1118.57007,1119.18005
1107.755,2015-09-09,1125.69995,1101.19995,1121.63
1110.80005,2015-09-10,1115.15991,1103.92505,1107.755
1107.73999,2015-09-11,1113.02002,1098.69995,1110.94507
1108.97998,2015-09-14,1110.66003,1103.62,1107.47998
1105.23511,2015-09-15,1109.55005,1102.55005,1108.94995
1119.51501,2015-09-16,1124.44995,1104.05005,1105.25
1131.45496,2015-09-17,1136.13501,1115.44507,1119.47998
1139.0,2015-09-18,1141.94995,1127.59998,1131.65002
1133.48999,2015-09-21,1140.40002,1129.5,1138.65503
1124.55005,2015-09-22,1136.75,1121.09998,1133.44995
1130.21509,2015-09-23,1134.69995,1121.69995,1124.55005
1153.94995,2015-09-24,1157.09998,1130.21509,1130.22998
1146.16504,2015-09-25,1154.69995,1140.83997,1154.1499
1131.94995,2015-09-28,1148.44995,1128.09497,1145.82007
1127.23499,2015-09-29,1135.09998,1124.27002,1131.94995
1114.8501,2015-09-30,1128.5,1111.65002,1127.34998
1113.44995,2015-10-01,1119.33008,1111.16504,1115.01501
1138.1001,2015-10-02,1141.5,1104.68994,1113.55005
1135.84998,2015-10-05,1142.40002,1130.21497,1138.65991
1147.18994,2015-10-06,1151.5,1135.06494,1136.30005
1145.58997,2015-10-07,1153.90002,1141.90002,1147.05005
1139.05005,2015-10-08,1151.55005,1136.65002,1145.44995
1156.5,2015-10-09,1160.05005,1138.72498,1138.94995
1163.81494,2015-10-12,1169.19995,1154.90002,1155.69995
1168.75,2015-10-13,1169.09998,1151.88,1163.83008
1184.56494,2015-10-14,1190.30005,1163.19995,1168.75
1183.15002,2015-10-15,1192.0,1174.59998,1184.15002
1177.03003,2015-10-16,1184.90002,1174.38501,1183.25
1170.75,2015-10-19,1178.69995,1168.65002,1178.18994
1175.92993,2015-10-20,1181.5,1167.44995,1170.75
1167.19507,2015-10-21,1179.69995,1163.72498,1176.05005
1166.5,2015-10-22,1172.40002,1162.63,1167.15002
1164.25,2015-10-23,1179.69995,1159.05005,1165.84998
1163.15002,2015-10-26,1169.90002,1162.15002,1164.70996
1166.90503,2015-10-27,1169.19995,1160.77002,1163.02002
1156.05005,2015-10-28,1183.5,1152.34998,1167.01501
1146.14001,2015-10-29,1163.0,1144.59998,1156.11499
1142.30005,2015-10-30,1150.30005,1139.19995,1145.98499
1133.51001,2015-11-02,1143.125,1132.59998,1142.13
1117.84998,2015-11-03,1138.41992,1114.09998,1133.57007
1107.94995,2015-11-04,1122.97998,1106.19995,1117.75
1103.94995,2015-11-05,1111.70996,1102.80005,1107.94995
1087.82007,2015-11-06,1110.57495,1085.30005,1103.93506
1092.34998,2015-11-09,1095.88,1088.19995,1090.14502
1089.66992,2015-11-10,1095.33008,1085.0,1092.30493
1086.55005,2015-11-11,1094.25,1084.19507,1089.67505
1085.22998,2015-11-12,1089.70996,1074.18994,1086.39502
1082.07007,2015-11-13,1088.75,1079.73999,1085.35498
1082.85498,2015-11-16,1098.26501,1081.34998,1083.69995
1070.31494,2015-11-17,1085.39001,1065.55005,1082.80493
1070.84998,2015-11-18,1075.61499,1063.90002,1070.31006
1082.27002,2015-11-19,1087.65002,1069.58997,1070.82996
1078.13,2015-11-20,1088.30005,1075.93994,1082.18994
1069.01501,2015-11-23,1078.48511,1066.47998,1078.48499
1075.75,2015-11-24,1081.69995,1068.97998,1069.17004
1071.25,2015-11-25,1081.0,1067.94995,1075.71997
1072.32495,2015-11-26,1075.30005,1069.75,1071.34998
1058.32996,2015-11-27,1073.97998,1052.69995,1071.46497
1064.84998,2015-11-30,1069.89502,1053.26001,1058.32996
1069.34998,2015-12-01,1074.85999,1063.30005,1064.75
1053.75,2015-12-02,1071.67505,1050.62,1069.17505
1062.15002,2015-12-03,1065.57495,1046.40002,1053.58997
1086.33008,2015-12-04,1089.30005,1058.25,1062.11499
1071.44995,2015-12-07,1087.1001,1066.44995,1087.09998
1074.93506,2015-12-08,1079.34998,1067.5,1071.30005
1072.745,2015-12-09,1085.65002,1069.53003,1074.92993
1071.52002,2015-12-10,1076.64001,1069.51501,1072.80493
1074.53003,2015-12-11,1080.0,1062.51501,1071.505
1060.14001,2015-12-14,1077.90002,1058.745,1075.39001
